Volume (m3),Surface (m2),Head (m)
4284000000,89204243.34,150.9779704
4270000000,89005378.17,150.8210272
4256000000,88806305.43,150.6637333
4242000000,88607024.22,150.5060868
4228000000,88407533.64,150.3480858
4214000000,88207832.77,150.1897283
4200000000,88007920.68,150.0310122
4186000000,87807796.45,149.8719356
4172000000,87607459.15,149.7124965
4158000000,87406907.82,149.5526927
4144000000,87206141.53,149.3925223
4130000000,87005159.31,149.2319832
4116000000,86803960.19,149.0710732
4102000000,86602543.21,148.9097902
4088000000,86400907.38,148.7481321
4074000000,86199051.72,148.5860968
4060000000,85996975.22,148.423682
4046000000,85794676.89,148.2608856
4032000000,85592155.71,148.0977053
4018000000,85389410.66,147.9341389
4004000000,85186440.71,147.7701842
3990000000,84983244.83,147.6058388
3976000000,84779821.97,147.4411004
3962000000,84576171.07,147.2759668
3948000000,84372291.07,147.1104355
3934000000,84168180.91,146.9445043
3920000000,83963839.49,146.7781706
3906000000,83759265.74,146.6114322
3892000000,83554458.55,146.4442865
3878000000,83349416.82,146.2767311
3864000000,83144139.42,146.1087635
3850000000,82938625.24,145.9403812
3836000000,82732873.13,145.7715817
3822000000,82526881.95,145.6023624
3808000000,82320650.56,145.4327207
3794000000,82114177.77,145.262654
3780000000,81907462.42,145.0921597
3766000000,81700503.32,144.9212351
3752000000,81493299.28,144.7498775
3738000000,81285849.09,144.5780843
3724000000,81078151.53,144.4058526
3710000000,80870205.38,144.2331797
3696000000,80662009.41,144.0600628
3682000000,80453562.35,143.886499
3668000000,80244862.97,143.7124856
3654000000,80035909.97,143.5380196
3640000000,79826702.09,143.3630981
3626000000,79617238.02,143.1877182
3612000000,79407516.47,143.0118769
3598000000,79197536.12,142.8355712
3584000000,78987295.64,142.658798
3570000000,78776793.69,142.4815543
3556000000,78566028.91,142.303837
3542000000,78354999.95,142.1256429
3528000000,78143705.42,141.9469689
3514000000,77932143.93,141.7678118
3500000000,77720314.09,141.5881684
3486000000,77508214.47,141.4080353
3472000000,77295843.65,141.2274093
3458000000,77083200.19,141.046287
3444000000,76870282.62,140.864665
3430000000,76657089.48,140.68254
3416000000,76443619.29,140.4999085
3402000000,76229870.54,140.316767
3388000000,76015841.73,140.133112
3374000000,75801531.33,139.9489398
3360000000,75586937.79,139.764247
3346000000,75372059.57,139.5790298
3332000000,75156895.08,139.3932846
3318000000,74941442.75,139.2070076
3304000000,74725700.97,139.0201951
3290000000,74509668.13,138.8328432
3276000000,74293342.59,138.6449481
3262000000,74076722.69,138.4565059
3248000000,73859806.78,138.2675127
3234000000,73642593.17,138.0779644
3220000000,73425080.16,137.887857
3206000000,73207266.03,137.6971865
3192000000,72989149.05,137.5059486
3178000000,72770727.47,137.3141393
3164000000,72551999.52,137.1217543
3150000000,72332963.4,136.9287892
3136000000,72113617.31,136.7352398
3122000000,71893959.44,136.5411017
3108000000,71673987.92,136.3463705
3094000000,71453700.9,136.1510416
3080000000,71233096.5,135.9551106
3066000000,71012172.8,135.7585727
3052000000,70790927.9,135.5614234
3038000000,70569359.84,135.3636579
3024000000,70347466.67,135.1652716
3010000000,70125246.38,134.9662594
2996000000,69902696.99,134.7666166
2982000000,69679816.45,134.5663382
2968000000,69456602.73,134.3654192
2954000000,69233053.73,134.1638545
2940000000,69009167.38,133.961639
2926000000,68784941.55,133.7587674
2912000000,68560374.09,133.5552344
2898000000,68335462.84,133.3510349
2884000000,68110205.62,133.1461632
2870000000,67884600.19,132.940614
2856000000,67658644.33,132.7343816
2842000000,67432335.77,132.5274605
2828000000,67205672.21,132.319845
2814000000,66978651.34,132.1115293
2800000000,66751270.8,131.9025074
2786000000,66523528.24,131.6927736
2772000000,66295421.24,131.4823217
2758000000,66066947.39,131.2711458
2744000000,65838104.22,131.0592395
2730000000,65608889.24,130.8465967
2716000000,65379299.95,130.633211
2702000000,65149333.8,130.4190759
2688000000,64918988.2,130.204185
2674000000,64688260.56,129.9885316
2660000000,64457148.24,129.772109
2646000000,64225648.56,129.5549105
2632000000,63993758.81,129.336929
2618000000,63761476.27,129.1181577
2604000000,63528798.16,128.8985894
2590000000,63295721.68,128.6782169
2576000000,63062243.98,128.4570329
2562000000,62828362.19,128.23503
2548000000,62594073.39,128.0122007
2534000000,62359374.63,127.7885374
2520000000,62124262.94,127.5640322
2506000000,61888735.26,127.3386774
2492000000,61652788.55,127.112465
2478000000,61416419.7,126.8853869
2464000000,61179625.56,126.6574348
2450000000,60942402.94,126.4286005
2436000000,60704748.61,126.1988754
2422000000,60466659.3,125.9682509
2408000000,60228131.68,125.7367183
2394000000,59989162.41,125.5042688
